,precision_mean,precision_std,recall_mean,recall_std,f1-score_mean,f1-score_std,support_mean,support_std
EW,0.9454535179881054,0.027571791482987825,0.5650366623352516,0.11124420542322003,0.7007224805640014,0.09468586822484247,5387.0,0.0
EA,0.6922515559775659,0.0850610376435021,0.8804375764993884,0.08145939164977307,0.7694377396101388,0.05884787809749659,817.0,0.0
RRab,0.5867891021742451,0.15763524999898798,0.7475440806045364,0.10111677653742394,0.644229025982522,0.12218972218802472,397.0,0.0
RRc,0.4174019386441319,0.1425545998545314,0.5477456803455727,0.14361089851166742,0.4576550079897861,0.11754049442545984,926.0,0.0
RRd,0.09442223892810235,0.06285296379786078,0.5716566265060239,0.12568133012178692,0.1541185470370544,0.08532434077795885,83.0,0.0
RS_CVn,0.22581407251112975,0.07588413004956067,0.6847463768115936,0.09668075506271095,0.3302508092128327,0.08213904314689963,276.0,0.0
LPV,0.6905047202991313,0.16653088148621628,0.8922499999999977,0.04432761554606791,0.7628621885184244,0.11703566128228288,70.0,0.0
accuracy,,,,,0.6116204751131221,0.07697889018308667,,
macro avg,0.5218053066460585,0.037846692148597476,0.6984881433003376,0.039121943894374525,0.545610828416394,0.040698830102272245,7956.0,0.0
weighted avg,0.8040088174520212,0.027268078387368777,0.6116204751131221,0.07697889018308667,0.6586615777672788,0.07198428348397835,7956.0,0.0
