,precision,recall,f1-score,support
EW,0.931140988372093,0.9513643957675887,0.9411440639059774,5387.0
EA,0.8474374255065554,0.8702570379436965,0.8586956521739131,817.0
RRab,0.8508557457212714,0.8765743073047859,0.8635235732009926,397.0
RRc,0.8822843822843823,0.8174946004319654,0.8486547085201793,926.0
RRd,0.62,0.37349397590361444,0.46616541353383456,83.0
RS_CVn,0.6363636363636364,0.532608695652174,0.5798816568047337,276.0
LPV,0.9076923076923077,0.8428571428571429,0.8740740740740741,70.0
accuracy,0.9022121669180493,0.9022121669180493,0.9022121669180493,0.9022121669180493
macro avg,0.8108249265628924,0.7520928794087096,0.7760198774591007,7956.0
weighted avg,0.8991745569659162,0.9022121669180493,0.8999616378236132,7956.0
