,precision,recall,f1-score,support
EW,0.9797767010743628,0.8633747911639131,0.917900138148806,5387.0
EA,0.772,0.944920440636475,0.8497523390203633,817.0
RRab,0.7955555555555556,0.9017632241813602,0.8453364817001181,397.0
RRc,0.7648870636550308,0.8045356371490281,0.7842105263157895,926.0
RRd,0.26126126126126126,0.6987951807228916,0.380327868852459,83.0
RS_CVn,0.460446247464503,0.822463768115942,0.5903771131339401,276.0
LPV,0.8428571428571429,0.8428571428571429,0.8428571428571429,70.0
accuracy,0.8634992458521871,0.8634992458521871,0.8634992458521871,0.8634992458521871
macro avg,0.6966834245525508,0.8398157406895361,0.7443945157183741,7956.0
weighted avg,0.8975200998205874,0.8634992458521871,0.8740905646217124,7956.0
