run_name,batch_size,lr,dropout,best_val_loss,test_acc,test_loss,best_ckpt,log_dir
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.0001_do0.1_s42,64,0.0001,0.1,0.4166930019855499,0.8646304607391357,0.42818140983581543,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.0001_do0.1_s42/version_0/checkpoints/epoch=3-val_loss=0.4167.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.0001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.0001_do0.0_s42,64,0.0001,0.0,0.4167165160179138,0.864756166934967,0.41153663396835327,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.0001_do0.0_s42/version_0/checkpoints/epoch=5-val_loss=0.4167.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.0001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.0001_do0.0_s42,32,0.0001,0.0,0.41815268993377686,0.864001989364624,0.4347468614578247,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.0001_do0.0_s42/version_0/checkpoints/epoch=4-val_loss=0.4182.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.0001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.0001_do0.1_s42,32,0.0001,0.1,0.4217822551727295,0.8641276955604553,0.41657915711402893,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.0001_do0.1_s42/version_0/checkpoints/epoch=4-val_loss=0.4218.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.0001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.0001_do0.1_s42,128,0.0001,0.1,0.42346668243408203,0.860859751701355,0.42183324694633484,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.0001_do0.1_s42/version_0/checkpoints/epoch=3-val_loss=0.4235.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.0001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.0001_do0.1_s42,256,0.0001,0.1,0.4279680550098419,0.8487933874130249,0.44181933999061584,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.0001_do0.1_s42/version_0/checkpoints/epoch=4-val_loss=0.4280.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.0001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.001_do0.1_s42,128,0.001,0.1,0.43086427450180054,0.8686525821685791,0.4304159879684448,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.001_do0.1_s42/version_0/checkpoints/epoch=4-val_loss=0.4309.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.001_do0.0_s42,256,0.001,0.0,0.4311118721961975,0.8289341330528259,0.456420361995697,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.001_do0.0_s42/version_0/checkpoints/epoch=6-val_loss=0.4311.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.0001_do0.0_s42,256,0.0001,0.0,0.4329056739807129,0.8364756107330322,0.42977768182754517,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.0001_do0.0_s42/version_0/checkpoints/epoch=6-val_loss=0.4329.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.0001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.0001_do0.0_s42,128,0.0001,0.0,0.43413424491882324,0.8588486909866333,0.43259045481681824,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.0001_do0.0_s42/version_0/checkpoints/epoch=2-val_loss=0.4341.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.0001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.001_do0.0_s42,128,0.001,0.0,0.4380764365196228,0.8327049016952515,0.46685245633125305,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.001_do0.0_s42/version_0/checkpoints/epoch=3-val_loss=0.4381.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.001_do0.0_s42,32,0.001,0.0,0.4616411626338959,0.860859751701355,0.44587621092796326,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.001_do0.0_s42/version_0/checkpoints/epoch=3-val_loss=0.4616.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.001_do0.1_s42,256,0.001,0.1,0.4627346098423004,0.8333333134651184,0.45530834794044495,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.001_do0.1_s42/version_0/checkpoints/epoch=1-val_loss=0.4627.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.001_do0.1_s42,64,0.001,0.1,0.47518420219421387,0.8609853982925415,0.486636221408844,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.001_do0.1_s42/version_0/checkpoints/epoch=2-val_loss=0.4752.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.001_do0.0_s42,64,0.001,0.0,0.4782242476940155,0.8489190340042114,0.5123525261878967,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.001_do0.0_s42/version_0/checkpoints/epoch=1-val_loss=0.4782.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.001_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.001_do0.1_s42,32,0.001,0.1,0.4810289144515991,0.817244827747345,0.480844646692276,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.001_do0.1_s42/version_0/checkpoints/epoch=6-val_loss=0.4810.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.001_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.01_do0.0_s42,256,0.01,0.0,0.4957646131515503,0.8494217991828918,0.5092810988426208,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.01_do0.0_s42/version_0/checkpoints/epoch=6-val_loss=0.4958.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.01_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.01_do0.0_s42,128,0.01,0.0,0.5791845917701721,0.8596028089523315,0.5918892621994019,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.01_do0.0_s42/version_0/checkpoints/epoch=5-val_loss=0.5792.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.01_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.01_do0.1_s42,256,0.01,0.1,0.6223253607749939,0.8323277831077576,0.6696553230285645,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.01_do0.1_s42/version_0/checkpoints/epoch=0-val_loss=0.6223.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs256_lr0.01_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.01_do0.1_s42,128,0.01,0.1,0.8800299167633057,0.6752136945724487,0.9679462909698486,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.01_do0.1_s42/version_0/checkpoints/epoch=1-val_loss=0.8800.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs128_lr0.01_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.01_do0.1_s42,64,0.01,0.1,1.1956021785736084,0.6892911195755005,1.2311257123947144,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.01_do0.1_s42/version_0/checkpoints/epoch=0-val_loss=1.1956.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.01_do0.1_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.01_do0.0_s42,32,0.01,0.0,1.5623798370361328,0.24635495245456696,1.5754618644714355,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.01_do0.0_s42/version_0/checkpoints/epoch=0-val_loss=1.5624.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.01_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.01_do0.0_s42,64,0.01,0.0,1.5771387815475464,0.22599296271800995,1.6274242401123047,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.01_do0.0_s42/version_0/checkpoints/epoch=2-val_loss=1.5771.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs64_lr0.01_do0.0_s42/version_0
EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.01_do0.1_s42,32,0.01,0.1,1.9374752044677734,0.6776018142700195,1.9372978210449219,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.01_do0.1_s42/version_0/checkpoints/epoch=0-val_loss=1.9375.ckpt,/home/rui/code/algorithm_base/timeseries/clip_experiments/runs/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features/benchmark/x/mlp/EXP21_lejepa_mean_pooling_no_group_no_starembed_overlap_starembed_features_concat_bs32_lr0.01_do0.1_s42/version_0
